"","Kingdom","Phylum","Class","Order","Family","Genus","Species","sa1"
"927","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Chromatiales","f__Halothiobacillaceae","g__Halothiobacillus","s__neapolitanus",68
"1579979","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Chromatiales","f__Wenzhouxiangellaceae","g__Wenzhouxiangella","s__marina",141
"2771012","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Chromatiales","f__Wenzhouxiangellaceae","g__Wenzhouxiangella","s__sp. AB-CW3",90
"1706369","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__","g__","s__",21
"48073","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__",204
"2944933","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. MI-G",381
"3032582","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. MLAF003",367
"2745199","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. YPW1",359
"2587856","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. THAF38",354
"1516059","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. ALW1",169
"2591606","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. GL-2",155
"2681547","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. SH-1",152
"2904242","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. YPW16",150
"359370","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. A4B17",121
"3034230","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__sp. VAAF005",121
"48074","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__hydrolyticus",215
"1769779","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__aggregans",165
"86173","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__elongatus",147
"3029061","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__bruguierae",120
"260552","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__agarilyticus",117
"407164","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__pacificus",112
"252514","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__thermotolerans",111
"266805","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__variabilis",38
"435905","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Microbulbiferaceae","g__Microbulbifer","s__celer",29
"1706371","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__","s__",11
"2426","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Teredinibacter","s__turnerae",458
"3034506","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Teredinibacter","s__sp. KSP-S5-2",408
"2731755","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Teredinibacter","s__haidensis",159
"2731756","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Teredinibacter","s__purpureus",75
"2303332","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","s__sp. KY-GH-1",272
"1987723","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","s__sp. PSBB006",200
"1945512","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","s__sp. PSBB023",179
"2964606","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","s__sp. QJXJ",109
"454662","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","s__sp. KY-YJ-3",36
"155077","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","s__japonicus",93
"3022676","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Marinimicrobium","s__sp. C6131",431
"2909669","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Simiduia","s__sp. 21SJ11W-1",200
"447471","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Simiduia","s__agarivorans",84
"2956798","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Gilvimarinus","s__sp. DA14",233
"86304","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Saccharophagus","s__degradans",130
"2721545","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Marinagarivorans","s__cellulosilyticus",125
"1737490","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Agarilytica","s__rhodophyticola",85
"2518989","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Aequoribacter","s__fuscus",233
"2708301","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Kineobactrum","s__salinum",199
"2601894","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Halioglobus","s__maricola",109
"930805","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Halioglobus","s__japonicus",67
"2518994","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Candidatus Paraluminiphilus","s__aquimaris",168
"393662","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Congregibacter","s__litoralis",87
"2794344","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Spongiibacteraceae","g__Spongiibacter","s__nanhainus",316
"1748242","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Spongiibacteraceae","g__Spongiibacter","s__taiwanensis",158
"1620392","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Spongiibacteraceae","g__Spongiibacter","s__sp. IMCC21906",60
"716816","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Spongiibacteraceae","g__Oceanicoccus","s__sagamiensis",138
"1470434","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cellvibrionales","f__Spongiibacteraceae","g__Zhongshania","s__aliphaticivorans",132
"135616","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__","s__",59
"2039723","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__",4
"2039724","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__sp.",648
"2949997","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__lithotrophica",298
"2791037","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__immobilis",254
"2267253","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__indica",219
"2739063","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__xiamenensis",169
"2580412","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__sediminis",157
"2211106","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrorhabdus","s__aquaedulcis",91
"147268","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrospira","s__cyclica",426
"92245","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrospira","s__aerophila",164
"406020","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrospira","s__microaerophila",82
"3035472","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrospira","s__sp. R3",12
"1803865","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiomicrospira","s__sp. S5",5
"40222","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","s__",47
"40223","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","s__thalassica",292
"754476","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","s__nitratireducenticrescens",103
"2881052","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","s__pinxianii",89
"754477","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","s__frappieri",46
"285271","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","s__uncultured Methylophaga sp.",29
"45495","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","s__marina",10
"28885","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Hydrogenovibrio","s__marinus",138
"265883","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Hydrogenovibrio","s__thermophilus",68
"39765","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Hydrogenovibrio","s__crunogenus",52
"2675053","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiosulfativibrio","s__zosterae",247
"34067","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Cycloclasticus","s__",32
"728003","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Cycloclasticus","s__sp. PY97N",61
"385025","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Cycloclasticus","s__sp. P1",26
"1329899","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Cycloclasticus","s__zancles",12
"1238","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Piscirickettsia","s__salmonis",91
"2675054","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Thiosulfatimonas","s__sediminis",58
"262","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__",521
"1395624","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__sp. LA112445",430
"1547445","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__sp. FSC1006",149
"2589986","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__sp. Scap27",34
"263","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__tularensis",306
"28110","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__philomiragia",142
"2599927","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__salimarina",126
"2249302","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__marina",93
"954","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__persica",84
"2007306","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__adeliensis",49
"1542390","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__frigiditurris",48
"549298","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__halioticida",37
"622488","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__hispaniensis",32
"299583","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__orientalis",15
"573570","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__uliginis",6
"657445","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__noatunensis",2
"573569","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Francisella","s__salina",1
"1869285","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Allofrancisella","s__",13
"1085647","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Allofrancisella","s__inopinata",80
"594679","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Allofrancisella","s__guangzhouensis",27
"1085644","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Francisellaceae","g__Allofrancisella","s__frigidaquae",8
"1030","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__",62
"525917","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__lacustris",254
"2823902","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__Candidatus Thiothrix anitrata",158
"2735563","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__subterranea",142
"96472","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__winogradskyi",123
"111769","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__unzii",113
"111770","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__fructosivorans",43
"2891210","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__litoralis",15
"288004","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Beggiatoa","s__leptomitoformis",111
"2975055","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Thiotrichales","f__Fastidiosibacteraceae","g__Cysteiniphilum","s__sp. QT6929",150
"403","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__","s__",16
"416","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__",197
"107637","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__sp. LW13",218
"3021710","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__sp. EFPC3",133
"3040943","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__sp. UP202",123
"2785785","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__sp. LL1",57
"2812647","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__sp. EFPC1",22
"1727196","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__sp. DH-1",1
"1538553","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__denitrificans",413
"702114","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__koyamae",387
"2963939","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__rapida",185
"1173101","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__paludis",174
"3058963","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__montana",161
"421","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__methanica",115
"2608981","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__rhizoryzae",71
"413","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylococcus","s__",129
"414","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylococcus","s__capsulatus",670
"2860258","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylococcus","s__sp. Mc7",198
"2812648","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylococcus","s__sp. EFPC2",78
"2681310","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylococcus","s__geothermalis",247
"2993564","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylococcus","s__mesophilus",130
"2911520","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylobacter","s__sp. YRD-M1",505
"2839024","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylobacter","s__sp. S3L5C",99
"73780","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylocaldum","s__szegediense",203
"1432792","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylocaldum","s__marinum",170
"2822410","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylotuvimicrobium","s__",118
"95641","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylotuvimicrobium","s__buryatense",119
"3133976","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylotuvimicrobium","s__sp. KM2",94
"271065","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylotuvimicrobium","s__alcaliphilum",7
"1704499","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylovulum","s__psychrotolerans",287
"1760988","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomagnum","s__ishizawai",270
"1295382","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylogaea","s__oryzae",213
"1808979","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Candidatus Methylospira","s__mobilis",175
"39775","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomicrobium","s__album",127
"1486720","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylothermaceae","g__Methylomarinovum","s__",51
"2840183","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylothermaceae","g__Methylomarinovum","s__tepidoasis",48
"438856","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylothermaceae","g__Methylomarinovum","s__caldicuralii",47
"444","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__","s__",54
"445","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__",105
"446","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__pneumophila",610
"66969","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__waltersii",517
"449","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__hackeliae",271
"454","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__israelensis",268
"28087","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__sainthelensi",252
"45067","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__lansingensis",252
"456","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__jordanis",243
"452","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__spiritensis",185
"96230","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__fallonii",176
"96232","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__lytica",168
"2662448","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__sp. MW5194",74
"2755562","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__sp. PC997",37
"2746060","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__sp. PC1000",21
"45065","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__geestiana",125
"451","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__micdadei",115
"1071983","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__cardiaca",108
"29423","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__oakridgensis",108
"45056","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__adelaidensis",85
"2708020","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__antarctica",81
"28082","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__anisa",73
"28084","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__cherrii",42
"450","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__longbeachae",42
"2005262","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__Candidatus Legionella polyplacis",29
"1867846","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella","s__clemsonensis",28
"463","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Fluoribacter","s__dumoffii",31
"118968","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__","s__",77
